$TTL 300
@ SOA localhost. root.localhost. 2025120401 43200 3600 259200 300
  NS  localhost.
0014b04291.com CNAME .
*.0014b04291.com CNAME .
0019x.com CNAME .
*.0019x.com CNAME .
00404850.xyz CNAME .
*.00404850.xyz CNAME .
00609c257b.com CNAME .
*.00609c257b.com CNAME .
00771944.xyz CNAME .
*.00771944.xyz CNAME .
00857731.xyz CNAME .
*.00857731.xyz CNAME .
00e2120672.com CNAME .
*.00e2120672.com CNAME .
00f8c4bb25.com CNAME .
*.00f8c4bb25.com CNAME .
015ea24446.com CNAME .
*.015ea24446.com CNAME .
01955ad1f7.com CNAME .
*.01955ad1f7.com CNAME .
01counter.com CNAME .
*.01counter.com CNAME .
02085170.xyz CNAME .
*.02085170.xyz CNAME .
0213499675.com CNAME .
*.0213499675.com CNAME .
0214217ebc.com CNAME .
*.0214217ebc.com CNAME .
02228640b9.com CNAME .
*.02228640b9.com CNAME .
023e6510cc.com CNAME .
*.023e6510cc.com CNAME .
024e3caef2.com CNAME .
*.024e3caef2.com CNAME .
029519cbdc.com CNAME .
*.029519cbdc.com CNAME .
0300acdff2.com CNAME .
*.0300acdff2.com CNAME .
039858f297.com CNAME .
*.039858f297.com CNAME .
03b5f525af.com CNAME .
*.03b5f525af.com CNAME .
03d756a534.com CNAME .
*.03d756a534.com CNAME .
0407137f3d.com CNAME .
*.0407137f3d.com CNAME .
04424170.xyz CNAME .
*.04424170.xyz CNAME .
044da016b3.com CNAME .
*.044da016b3.com CNAME .
0458a53a71.com CNAME .
*.0458a53a71.com CNAME .
04b9055b2a.com CNAME .
*.04b9055b2a.com CNAME .
0518714bbd.com CNAME .
*.0518714bbd.com CNAME .
05420795.xyz CNAME .
*.05420795.xyz CNAME .
05454674.xyz CNAME .
*.05454674.xyz CNAME .
054ii.com CNAME .
*.054ii.com CNAME .
058d79990c.com CNAME .
*.058d79990c.com CNAME .
05e4bd1819.com CNAME .
*.05e4bd1819.com CNAME .
05f3b6b187.com CNAME .
*.05f3b6b187.com CNAME .
05fa754f24.com CNAME .
*.05fa754f24.com CNAME .
0645405ef4.com CNAME .
*.0645405ef4.com CNAME .
067f87da09.com CNAME .
*.067f87da09.com CNAME .
06969451.xyz CNAME .
*.06969451.xyz CNAME .
06cffaae87.com CNAME .
*.06cffaae87.com CNAME .
070880.com CNAME .
*.070880.com CNAME .
07327127.xyz CNAME .
*.07327127.xyz CNAME .
07421283.xyz CNAME .
*.07421283.xyz CNAME .
079e158914.com CNAME .
*.079e158914.com CNAME .
07d0bc4a48.com CNAME .
*.07d0bc4a48.com CNAME .
08082c0ad5.com CNAME .
*.08082c0ad5.com CNAME .
08256602.xyz CNAME .
