#     _____   ______   ______   _____   _   _   ______   _  __      __          __  _    _   _____   _______   ______   _        _____    _____   _______
#    / ____| |  ____| |  ____| |_   _| | \ | | |  ____| | |/ /      \ \        / / | |  | | |_   _| |__   __| |  ____| | |      |_   _|  / ____| |__   __|
#   | (___   | |__    | |__      | |   |  \| | | |__    | ' /        \ \  /\  / /  | |__| |   | |      | |    | |__    | |        | |   | (___      | |
#    \___ \  |  __|   |  __|     | |   | . ` | |  __|   |  <          \ \/  \/ /   |  __  |   | |      | |    |  __|   | |        | |    \___ \     | |
#    ____) | | |____  | |       _| |_  | |\  | | |____  | . \          \  /\  /    | |  | |  _| |_     | |    | |____  | |____   _| |_   ____) |    | |
#   |_____/  |______| |_|      |_____| |_| \_| |______| |_|\_\          \/  \/     |_|  |_| |_____|    |_|    |______| |______| |_____| |_____/     |_|
#
#                   This file belongs to Sefinek's Blocklist Collection, which is curated and maintained by: github.com/sefinek
#
#  In case of encountering false positives, we encourage adding such exceptions to the whitelist.
#  To ensure a smooth and efficient process, adherence to the required format when submitting a Pull Request is mandatory.
#  The format necessitates including the domain name followed by the path to the file where the false positive was detected.
#
# - Example:
#   # Spotify (music streaming)
#   open.spotify.com apps/discord.txt
#
# Author            : Sefinek (https://sefinek.net) <contact@sefinek.net>
# License           : GNU General Public License v3.0
# GitHub repository : https://github.com/sefinek/Sefinek-Blocklist-Collection
# -----------------------------------------------------------------------------------------------------------------------------------------------------------------

# Discord (chat)
click.discord.com ads/jerryn70/GoodbyeAds.fork.txt
click.discord.com ads/yoyo/ads-trackers-etc.fork.txt
click.discord.com other/StevenBlack/fakenews-gambling-porn.fork.txt
click.discord.com other/StevenBlack/hosts.fork.txt
click.discord.com ads/firebog/Prigent-Ads.fork.txt

# FaceIT (gaming platform)
email.faceit.com ads/jerryn70/GoodbyeAds.fork.txt
email.faceit.com malicious/RPiList/Malware.fork.txt

# Google
manifest.googlevideo.com ads/kboghdady/youtubelist.fork.txt

# Stripe (payment gateway)
m.stripe.com ads/firebog/AdguardDNS.fork.txt
m.stripe.com extensions/MajkiIT/adguard-host.fork.txt

# DeviantArt (art community)
deviantart.com porn/4skinSkywalker/hosts.fork.txt
www.deviantart.com porn/4skinSkywalker/hosts.fork.txt

# Booth (art community)
booth.pm other/StevenBlack/fakenews-gambling-porn.fork.txt
booth.pm porn/Sinfonietta/pornography-hosts.fork.txt
booth.pm porn/StevenBlack/porn.fork.txt

# TheAnnoyingSite (this page is actually a meme and is entirely safe)
theannoyingsite.com ads/blocklistproject/hosts.fork.txt
theannoyingsite.com other/StevenBlack/fakenews-gambling-porn.fork.txt
theannoyingsite.com porn/4skinSkywalker/hosts.fork.txt
theannoyingsite.com tracking-and-telemetry/neodevpro/host.fork.txt

# KuCoin (crypto)
kucoin.com crypto/cryptojacking/firebog/Prigent/Crypto.fork.txt

# Binance (crypto)
log.bntrace.com extensions/hagezi/pro.fork.txt
log.bntrace.com jerryn70/GoodbyeAds.fork.txt

# Trustpilot (widget)
widget.trustpilot.com ads/blocklistproject/hosts.fork.txt
widget.trustpilot.com ads/ShadowWhisperer/Ads.fork.txt

# Userlike (chat)
userlike-cdn-widgets.s3-eu-west-1.amazonaws.com ads/ShadowWhisperer/Ads.fork.txt
userlike-cdn-widgets.s3-eu-west-1.amazonaws.com extensions/hagezi/pro.fork.txt

# Komputer Świat (Polish magazine)
download.komputerswiat.pl abuse/blocklistproject/hosts.fork.txt
download.komputerswiat.pl malicious/blocklistproject/malware.fork.txt
komputerswiat.pl abuse/blocklistproject/hosts.fork.txt
komputerswiat.pl malicious/blocklistproject/malware.fork.txt
www.komputerswiat.pl abuse/blocklistproject/hosts.fork.txt
www.komputerswiat.pl malicious/blocklistproject/malware.fork.txt

# Forum PCLab.pl (Polish forum)
forum.pclab.pl abuse/blocklistproject/hosts.fork.txt
forum.pclab.pl malicious/blocklistproject/malware.fork.txt

# G2A (Game marketplace)
g2a.com fraud/blocklistproject/hosts.fork.txt
www.g2a.com fraud/blocklistproject/hosts.fork.txt

# Microsoft
arc.msn.com ads/blocklistproject/hosts.fork.txt
arc.msn.com ads/ShadowWhisperer/Ads.fork.txt
microsoft.design phishing/RPiList/Phishing-Angriffe.fork.txt

# Windows
client.wns.windows.com ads/ShadowWhisperer/Ads.fork.txt

# mail.ru (Russian mail service)
trk.mail.ru extensions/hagezi/pro.fork.txt

# WP (Polish mail service)
onelogin.wpcdn.pl ads/ShadowWhisperer/Ads.fork.txt

# Nvidia (graphics cards)
events.gfe.nvidia.com tracking-and-telemetry/quidsup/trackers-hosts.fork.txt

# reg.ru (Russian Internet Service Provider that offers web hosting, domain registration, and email services, including RoundCube Webmail)
ns2.parking.reg.ru extensions/hagezi/pro.fork.txt
parking.reg.ru ads/blocklistproject/hosts.fork.txt
parking.reg.ru extensions/hagezi/pro.fork.txt
parking.reg.ru StevenBlack/fakenews-gambling-porn.fork.txt
parking.reg.ru tracking-and-telemetry/neodevpro/host.fork.txt
www.reg.ru ads/blocklistproject/hosts.fork.txt

# Outbyte (software company)
email.mg.outbyte.com malicious/RPiList/Malware.fork.txt
outbyte.com malicious/DandelionSprout-AntiMalwareHosts.fork.txt
outbyte.com malicious/RPiList/Malware.fork.txt

# Chomikuj.pl (Polish file hosting service)
chomikuj.pl other/StevenBlack/fakenews-gambling-porn.fork.txt
chomikuj.pl porn/4skinSkywalker/hosts.fork.txt
chomikuj.pl porn/Sinfonietta/pornography-hosts.fork.txt
chomikuj.pl porn/StevenBlack/porn.fork.txt
s6704.chomikuj.pl abuse/blocklistproject/hosts.fork.txt
s6704.chomikuj.pl malicious/blocklistproject/malware.fork.txt
s72.chomikuj.pl abuse/blocklistproject/hosts.fork.txt
s72.chomikuj.pl malicious/blocklistproject/malware.fork.txt
